Source,Target,Case Sensitive,Enabled
Fushi,Fuschi,0,1
Fooshy,Fuschi,0,1
Jachinto,Giacinto,0,1
Jachento,Giacinto,0,1
Jia Chinto,Giacinto,0,1
Giacomo Moretti,Giacomo Moretti,0,1
Reweti,Reweti,0,1
Rewetty,Reweti,0,1
Kahurangi,Kahurangi,0,1
Cotter Foss,Cotter Foss,0,1
Catarina DaVirelli,Catarina Da'Virelli,0,1
Da Virelli,Da'Virelli,0,1
Davirelli,Da'Virelli,0,1
Serafina Windfall,Serafina Windfall Fisk,0,1
Estratto,Estratto,0,1
Estrato,Estratto,0,1
Ettore Lupo,Ettore Lupo,0,1
A Tore Lupo,Ettore Lupo,0,1
Felix Aho,Félix Aho,0,1
Savia Brentino,Savia Brentino,0,1
Savya Brentino,Savia Brentino,0,1
Prospero Morsani,Prospero Morsani,0,1
Aldric Drave,Aldric Drave,0,1
Aldous Draves,Aldous Draves,0,1
Rupert Knighton,Rupert Knighton,0,1
Rupert Niton,Rupert Knighton,0,1
Captain Gorgeous,Cap'n Gorgeous,0,1
Captain gorgeous,Cap'n Gorgeous,0,1
Capn Gorgeous,Cap'n Gorgeous,0,1
Norrington Kingsly,Norrington Kingsly,0,1
Hector Podge,Hector Podge,0,1
Essa Two Tooth,Essa Two-Tooth,0,1
Bela Silt Paw,Bela Silt-Paw,0,1
Stripes Bite More,Stripes Bitemore,0,1
Stripes Bite more,Stripes Bitemore,0,1
Alys Kuiper,Alys Kuiper,0,1
Alice Kuiper,Alys Kuiper,0,1
Alice Cooper,Alys Kuiper,0,1
Bice Riva,Bice Riva,0,1
Beechay Riva,Bice Riva,0,1
Drav Holke,Drav Holke,0,1
Le Paludy,Le Paludi,0,1
La Paludi,Le Paludi,0,1
La Paludy,Le Paludi,0,1
Paludi,Le Paludi,0,1
La Vasca,La Vasca,0,1
Lavasca,La Vasca,0,1
Al Fondale,Al Fondale,0,1
Acqua Nera,Acqua Nera,0,1
Aqua Nera,Acqua Nera,0,1
Ponte Bassa,Ponte Bassa,0,1
Velo Quarter,Velo Quarter,0,1
Mercatura,Mercatura,0,1
Merkatura,Mercatura,0,1
the Warren,The Warren,0,1
Low Lamp,The Low Lamp,0,1
Tangle Chambers,The Tangle Chambers,0,1
the Splint,The Splint,0,1
Calloway,Kalowe,0,1
Kalo Way,Kalowe,0,1
Kalo,Kalowe,0,1
Callow,Kalowe,0,1
Kaloway,Kalowe,0,1
Flat Water,The Flat Water,0,1
Mud Pits,The Mud Pits,0,1
Bala Taney,Bala Tane,0,1
Calder's Tooth,Calder's Tooth,0,1
Port Tidefall,Port Tidefall,0,1
Tide Fall,Tidefall,0,1
Fort Crestwall,Fort Crestwall,0,1
Crest Wall,Crestwall,0,1
Keth Nar,Keth-Naar,0,1
Ketnar,Keth-Naar,0,1
Keth Noir,Keth-Naar,0,1
Vel Orn,Vel-Orn,0,1
Velorn,Vel-Orn,0,1
Ral Arn,Ral-Arn,0,1
Meth Var,Meth-Var,0,1
Dath Mar,Dath-Mar,0,1
Halithion,Halythion,0,1
Halytheon,Halythion,0,1
Halathion,Halythion,0,1
Techinos,Teikhinos,0,1
Teikinos,Teikhinos,0,1
Tikinos,Teikhinos,0,1
Gale Wall,Galewall,0,1
gale wall,Galewall,0,1
Drowned Maw,Drowned Maw,0,1
Verdant Scatter,Verdant Scatter,0,1
Verdant Teeth,Verdant Teeth,0,1
Mid Chain,Midchain,0,1
mid chain,Midchain,0,1
Veth,Veth,0,1
Sorn,Sorn,0,1
Dreth,Dreth,0,1
Orak,Orak,0,1
Karath,Karath,0,1
Aruhe,Aruhe,0,1
Aruhay,Aruhe,0,1
Aroohe,Aruhe,0,1
Huahei,Huahei,0,1
Hua Hey,Huahei,0,1
Murrat,Murrat,0,1
Murat,Murrat,0,1
Sunken Crown,Sunken Crown,0,1
Outer Reach,Outer Reach,0,1
Ashwall,Ashwall,0,1
Ash Wall,Ashwall,0,1
HCS surety,HCS Surety,0,1
Salt Right,Saltwright,0,1
Salt Write,Saltwright,0,1
Salt Wright,Saltwright,0,1
the Red Lady,The Red Lady,0,1
Dead Lady,The Dead Lady,0,1
the Loud Argument,The Loud Argument,0,1
the Heft,The Heft,0,1
Fernen,The Fernen,0,1
the Narrow,The Narrow,0,1
Brass Cat,The Brass Cat,0,1
Bad Receipt,The Bad Receipt,0,1
Glass Debt,The Glass Debt,0,1
Velvet Noose,The Velvet Noose,0,1
Knife's Wake,The Knife's Wake,0,1
Vethka,Vethka,0,1
Vetka,Vethka,0,1
the Quorum,The Quorum,0,1
Tallow Bell,The Tallow Bell,0,1
HCS Constancy,HCS Constancy,0,1
HCS Relentless,HCS Relentless,0,1
HCS Sovereign,HCS Sovereign,0,1
Amber Reach,Amberreach,0,1
Silk Vein,Silkvane,0,1
Silk Vane,Silkvane,0,1
Iron Mantle,Ironmantle,0,1
Nimik Volask,Nimmik Vollask,0,1
Il Gioco delle Beffe,Il Gioco delle Beffe,0,1
Il Joco,Il Gioco,0,1
el Gioco,Il Gioco,0,1
Delle Beffe,delle Beffe,0,1
La Shelta,La Scelta,0,1
La Selta,La Scelta,0,1
La Finestra,La Finestra,0,1
Il Judizio,Il Giudizio,0,1
el Judizio,Il Giudizio,0,1
Il Giudizio,Il Giudizio,0,1
Beffa medal,Beffa Medallion,0,1
beffa doppia,Beffa doppia,0,1
Il Palio,Il Palio,0,1
Il Palio Delle Voci Contese,Il Palio delle Voci Contese,0,1
La Prova,La Prova,0,1
Il Palco,Il Palco,0,1
Galewall Runner's Drop,Galewall Runner's Drop,0,1
Grandfather Hole,The Grandfather Hole,0,1
Pearl of Souls,Pearl of Souls,0,1
Compass of the Drowned,Compass of the Drowned,0,1
Sending Stone,Sending Stone,0,1
sending stone,Sending Stone,0,1
Black Jaw Run,Black-Jaw Run,0,1
the Passage,The Passage,0,1
the Tangle,The Tangle,0,1
Five Blades,Five Blades,0,1
Kissty,Khlysty,0,1
Clisty,Khlysty,0,1
Christy,Khlysty,0,1
Klisty,Khlysty,0,1
Klisti,Khlysty,0,1
Clysty,Khlysty,0,1
Chain Council,Chain Council,0,1
Sentinels of the Eyrie,Sentinels of the Eyrie,0,1
Eyrie,Eyrie,0,1
Airy,Eyrie,0,1
Remnis,Remnis,0,1
Remniss,Remnis,0,1
Aerdrie Faenya,Aerdrie Faenya,0,1
Syranita,Syranita,0,1
Siranita,Syranita,0,1
Colla,Colla,0,1
Moretti and Sons,Moretti & Sons,0,1
Studio Orsini,Studio Orsini,0,1
Marta Orsini,Marta Orsini,0,1
Cabinet of Morsani,Cabinet of Morsani,0,1
Cat's Curios,Cat's Curios,0,1
Fifita's Slip,Fifita's Slip,0,1
Fifita,Fifita,0,1
Fafita,Fifita,0,1
Ormsson's Fittings,Ormsson's Fittings,0,1
Kettil Ormsson,Kettil Ormsson,0,1
Cattle Ormsson,Kettil Ormsson,0,1
Wibowo's Provisions,Wibowo's Provisions,0,1
Suryo Wibowo,Suryo Wibowo,0,1
Grimaldi's Dispensary,Grimaldi's Dispensary,0,1
Ilaria Grimaldi,Ilaria Grimaldi,0,1
Bisou,Bisou,0,1
Bezu,Bisou,0,1
Osha's Slip,Osha's Slip,0,1
Letters of Mark,Letters of Marque,0,1
letters of mark,Letters of Marque,0,1
Antheri,Antheri,0,1
Anthery,Antheri,0,1
Auralis,Auralis,0,1
Oralis,Auralis,0,1
Sawek,Sawek,0,1
Saw Ek,Sawek,0,1
Coralyra,Coralyra,0,1
Coral Lyra,Coralyra,0,1
Koralyra,Coralyra,0,1
Dranra,Dranra,0,1
Drawnra,Dranra,0,1
Shelf Works,The Shelfworks,0,1
shelf works,The Shelfworks,0,1
Vaca,Vaka,0,1
Mortes,Mortis,0,1
Mortise,Mortis,0,1
Taras,Tarahs,0,1
Casa Lupo,Casa Lupo,0,1
Carpenters Slip,Carpenters' Slip,0,1
Carpenter Slip,Carpenters' Slip,0,1
Shepherd Grigori,Shepherd Grigori,0,1
Magus Dragon,Magus Dragon,0,1
Nigel Strutt,Nigel Strutt,0,1
Ensign Wouters,Ensign Wouters,0,1
Ensign Walters,Ensign Wouters,0,1
Ensign Wooters,Ensign Wouters,0,1
Old Foss,Old Faas,0,1
Old Fas,Old Faas,0,1
Sem Holst,Sem Holst,0,1
Reginald Fen,Reginald Fenn,0,1
Fare Ia,Fare I'a,0,1
Fare E-ah,Fare I'a,0,1
Andriana Trevisan,Andriana Trevisan,0,1
Oriana Becht,Oriana Becht,0,1
Oriana Beck,Oriana Becht,0,1
Dorian Bishop,Dorian Bishop,0,1
Noor,Noor,0,1
Lenne Vor,Lenne Vor,0,1
Lenny Vor,Lenne Vor,0,1
Sera Maddock,Sera Maddock,0,1
Sarah Maddock,Sera Maddock,0,1
Marrow,Marrow,0,1
Cedric Hollowell,Cedric Hollowell,0,1
Verity Hollowell,Verity Hollowell,0,1
Valcoran,Valcoran,0,1
Val Coran,Valcoran,0,1
Dockfront,Dockfront,0,1
Dock Front,Dockfront,0,1
Anchor and Line,Anchor & Line,0,1
Hook and Ledger,Hook & Ledger,0,1
the Uncertainty,The Uncertainty,0,1
Blue Hole,Blue Hole,0,1
Water Debt,Water-debt,0,1
water debt,Water-debt,0,1
Kaizel,Kyzil,0,1
Kaisel,Kyzil,0,1
Kazel,Kyzil,0,1
Kaiser,Kyzil,0,1
Castle Lupa,Casa Lupo,0,1
Casa de Lupa,Casa Lupo,0,1
Casa Lupa,Casa Lupo,0,1
La Pluta,Le Paludi,0,1
La Paluda,Le Paludi,0,1
Le Le Paludi,Le Paludi,0,1
Pomp Vassa,Ponte Bassa,0,1
Point Basa,Ponte Bassa,0,1
Plant Bassa,Ponte Bassa,0,1
Pont Basa,Ponte Bassa,0,1
Crissdalyn,Crissdalynn,0,1
Crystalline,Crissdalynn,0,1
crystalline,Crissdalynn,1,1
Chris Dalynn,Crissdalynn,0,1
whipshock,whip shark,0,1
Whipshock,whip shark,0,1
eerie history,Eyrie history,0,1
Tabernak,Tabarnack,0,1
Mr. Tabernak,Mr. Tabarnack,0,1
