ID,Start,End,Speaker,Text,Source
47,00:53,00:55,Jean Claude,Then you don't have to go and buy Whipshark's sperm.,session04-part00.m4a.csv
48,00:57,00:57,Jean Claude,"Unfortunately,",session04-part00.m4a.csv
49,00:57,00:58,Jean Claude,it makes the taste of it worse.,session04-part00.m4a.csv
50,00:58,01:23,Jean Claude,be very hard to master bet not joking i'd like this the junk thought is like honestly logically a whipshark is going to be hard to jerk off i mean shark semen i think the thing is they want it more as a delicacy to eat not to breed is that what i'm understanding oh here but yes oh metagaming yes yeah um but maybe okay The taste is not so good.,session04-part00.m4a.csv
51,01:23,01:24,Perrin,First interaction.,session04-part00.m4a.csv
52,01:25,01:27,Perrin,Of course you want to breed them.,session04-part00.m4a.csv
53,01:27,01:27,Speaker 1,"Oh,",session04-part00.m4a.csv
54,01:28,01:28,Speaker 1,you eat them.,session04-part00.m4a.csv
55,01:29,01:29,DM,"Oh,",session04-part00.m4a.csv
56,01:29,01:29,DM,"yes,",session04-part00.m4a.csv
57,01:29,01:30,DM,the delicacy.,session04-part00.m4a.csv
58,01:30,01:34,DM,That one alone is enough for several meals right there.,session04-part00.m4a.csv
59,01:35,01:38,DM,I could offer you 75 gold per egg.,session04-part00.m4a.csv
60,01:40,01:43,Jean Claude,I would prefer to sell them to someone who will not eat them.,session04-part00.m4a.csv
61,01:44,01:45,Speaker 1,Is that possible?,session04-part00.m4a.csv
62,01:46,01:46,Jean Claude,I don't know.,session04-part00.m4a.csv
63,01:47,01:51,Jean Claude,Is there someone who might hatch them so they may live their lives?,session04-part00.m4a.csv
64,01:51,01:53,Jean Claude,You want more of those monsters?,session04-part00.m4a.csv
65,01:54,01:55,Jean Claude,I don't.,session04-part00.m4a.csv
66,01:55,01:56,Jean Claude,Someone might.,session04-part00.m4a.csv
67,01:56,01:57,Jean Claude,They are living creatures.,session04-part00.m4a.csv
68,01:58,02:00,Jean Claude,They just do what is in their nature.,session04-part00.m4a.csv
69,02:02,02:02,Speaker 1,"Well,",session04-part00.m4a.csv
70,02:02,02:04,DM,"anything I do with them,",session04-part00.m4a.csv
71,02:04,02:05,DM,I'm not going to be hatching it.,session04-part00.m4a.csv
72,02:05,02:06,DM,I'm not a pet farm.,session04-part00.m4a.csv
73,02:08,02:08,DM,"I mean,",session04-part00.m4a.csv
74,02:08,02:13,DM,I'll give you 100 gold and I'll promise I won't eat it.,session04-part00.m4a.csv
75,02:15,02:16,DM,You are lying to me.,session04-part00.m4a.csv
76,02:16,02:17,Speaker 1,You don't even need the gold.,session04-part00.m4a.csv
77,02:20,02:22,Jean Claude,There was not a question mark at the end of that sentence.,session04-part00.m4a.csv
78,02:23,02:24,Jean Claude,There also will.,session04-part00.m4a.csv
79,02:27,02:27,Jean Claude,"To be honest,",session04-part00.m4a.csv
80,02:28,02:29,Jean Claude,I...,session04-part00.m4a.csv
81,02:30,02:30,Jean Claude,"Okay,",session04-part00.m4a.csv
82,02:30,02:31,Jean Claude,100 per egg?,session04-part00.m4a.csv
83,02:32,02:32,Speaker 1,"100 per egg,",session04-part00.m4a.csv
84,02:32,02:32,Speaker 1,yes.,session04-part00.m4a.csv
85,02:33,02:34,Jean Claude,And you will not eat them?,session04-part00.m4a.csv
86,02:34,02:34,DM,"I promise,",session04-part00.m4a.csv
87,02:34,02:35,DM,I will not per clean.,session04-part00.m4a.csv
88,02:35,02:36,DM,Whack.,session04-part00.m4a.csv
89,02:36,02:36,Speaker 1,Yes.,session04-part00.m4a.csv
90,02:37,02:38,DM,"Not wank,",session04-part00.m4a.csv
91,02:38,02:38,DM,but wank.,session04-part00.m4a.csv
92,02:39,02:40,Jean Claude,"But also wank,",session04-part00.m4a.csv
93,02:40,02:40,Jean Claude,if you want.,session04-part00.m4a.csv
94,02:41,02:42,Jean Claude,I am not going to KCham.,session04-part00.m4a.csv
95,02:43,02:43,Jean Claude,Very well.,session04-part00.m4a.csv
96,02:43,02:44,Jean Claude,"20 gold,",session04-part00.m4a.csv
97,02:44,02:44,Jean Claude,it's 20 gold.,session04-part00.m4a.csv
98,02:44,02:45,Jean Claude,"We have a deal,",session04-part00.m4a.csv
99,02:45,02:46,Jean Claude,and I pull out the other two.,session04-part00.m4a.csv
100,02:47,02:47,Speaker 1,"Okay,",session04-part00.m4a.csv
101,02:47,02:47,Speaker 1,"perfect,",session04-part00.m4a.csv
102,02:47,02:47,Speaker 1,yeah.,session04-part00.m4a.csv
103,02:48,02:51,Jean Claude,"I don't put them on the counter until I see the gold,",session04-part00.m4a.csv
104,02:51,02:51,Jean Claude,though.,session04-part00.m4a.csv
105,02:51,02:51,Jean Claude,"Yeah,",session04-part00.m4a.csv
106,02:51,02:53,Jean Claude,she takes it out.,session04-part00.m4a.csv
107,02:58,03:00,DM,"Counts out 30 platinum,",session04-part00.m4a.csv
108,03:00,03:01,DM,I believe the math's right there.,session04-part00.m4a.csv
109,03:01,03:01,DM,"Yeah,",session04-part00.m4a.csv
110,03:01,03:01,DM,yeah.,session04-part00.m4a.csv
111,03:02,03:02,DM,"Right,",session04-part00.m4a.csv
112,03:02,03:04,DM,and puts it down on the counter.,session04-part00.m4a.csv
113,03:05,03:06,DM,"If you have any more to sell,",session04-part00.m4a.csv
114,03:06,03:08,DM,I'd be happy to buy them for you.,session04-part00.m4a.csv
115,03:09,03:09,DM,Very well.,session04-part00.m4a.csv
116,03:10,03:11,Jean Claude,Enjoy your nut meal.,session04-part00.m4a.csv
117,03:12,03:19,DM,I will absolutely enjoy people's delicacy up on the shelf where I do not intend to do anything but lick their lips.,session04-part00.m4a.csv
118,03:21,03:21,DM,"Okay,",session04-part00.m4a.csv
119,03:21,03:23,DM,so I got 300 gold.,session04-part00.m4a.csv
120,03:23,03:24,DM,"300 gold,",session04-part00.m4a.csv
121,03:24,03:24,DM,yep.,session04-part00.m4a.csv
122,03:24,03:24,Jean Claude,"Cool,",session04-part00.m4a.csv
123,03:24,03:30,Jean Claude,I go back to the shop that had that bow that seemed very intriguing to me.,session04-part00.m4a.csv
124,03:30,03:30,Speaker 1,Yes.,session04-part00.m4a.csv
125,03:31,03:33,Delmar,You should also have more than enough now.,session04-part00.m4a.csv
126,03:34,03:35,Delmar,There's 250.,session04-part00.m4a.csv
127,03:36,03:37,Jean Claude,I'll have a little bit to spare.,session04-part00.m4a.csv
128,03:38,03:39,Jean Claude,We can decide.,session04-part00.m4a.csv
129,03:39,03:44,Jean Claude,Jean-Claude will start using currency to crap poisons and shit and whatnot.,session04-part00.m4a.csv
130,03:44,03:45,Jean Claude,It's just going to be necessary.,session04-part00.m4a.csv
131,03:45,03:48,Jean Claude,It's just anathema to him.,session04-part00.m4a.csv
132,03:49,03:50,DM,"Sorry,",session04-part00.m4a.csv
133,03:50,03:50,DM,I'm just...,session04-part00.m4a.csv
134,03:50,03:52,DM,Where do I put the item here?,session04-part00.m4a.csv
135,03:53,03:53,Speaker 1,I don't know.,session04-part00.m4a.csv
136,03:56,03:57,Delmar,"Yes,",session04-part00.m4a.csv
137,03:57,04:02,Delmar,I've heard of this strange thing where you exchange shiny pieces of metal for products.,session04-part00.m4a.csv
138,04:02,04:04,Delmar,Usually I just give a thing and then I get a thing.,session04-part00.m4a.csv
139,04:04,04:06,Delmar,"But if you want to add the middleman,",session04-part00.m4a.csv
140,04:06,04:07,Delmar,go for it.,session04-part00.m4a.csv
141,04:09,04:09,Delmar,"You'll get a thing,",session04-part00.m4a.csv
142,04:09,04:10,Delmar,you'll get a thing.,session04-part00.m4a.csv
143,04:13,04:42,Jean Claude,just a second here well like currency the value it has is the belief people have and like even gold like yes it's very rare it doesn't tarnish and what not these are all reasons why but it's like still the value is what we put on it like platinum is more rare and should be worth more than gold but because gold was so established and had been so established for such a long time gold has a higher dollar value than platinum per ounce.,session04-part00.m4a.csv
144,04:44,04:48,Perrin,In a complete apocalypse where there's no meaning to that.,session04-part00.m4a.csv
145,04:48,04:49,Perrin,"If I say,",session04-part00.m4a.csv
146,04:49,04:49,Perrin,"hey,",session04-part00.m4a.csv
147,04:50,04:53,Perrin,will you give me the rest of the food you have for three pounds of gold?,session04-part00.m4a.csv
148,04:54,04:54,Perrin,"It's like,",session04-part00.m4a.csv
149,04:54,04:54,Perrin,"well,",session04-part00.m4a.csv
150,04:54,04:56,Perrin,"if I have no food and I'm starving,",session04-part00.m4a.csv
151,04:56,04:57,Perrin,this gold is worthless to me.,session04-part00.m4a.csv
152,04:58,05:00,Perrin,"If it still does have that value system,",session04-part00.m4a.csv
153,05:00,05:01,Perrin,"if that value system is gone,",session04-part00.m4a.csv
154,05:01,05:02,Perrin,"then yeah,",session04-part00.m4a.csv
155,05:02,05:02,Speaker 1,absolutely.,session04-part00.m4a.csv
156,05:02,05:04,Jean Claude,As long as it's universal.,session04-part00.m4a.csv
157,05:04,05:05,Jean Claude,It's taking me a ton of gold.,session04-part00.m4a.csv
158,05:05,05:07,Jean Claude,"It's like in Fallout,",session04-part00.m4a.csv
159,05:07,05:08,Jean Claude,how the currency is just fucking bottle-capped.,session04-part00.m4a.csv
160,05:09,05:09,Jean Claude,"Yeah,",session04-part00.m4a.csv
161,05:09,05:10,Jean Claude,"it is a really,",session04-part00.m4a.csv
162,05:10,05:11,Jean Claude,"like,",session04-part00.m4a.csv
163,05:11,05:12,Jean Claude,"you know,",session04-part00.m4a.csv
164,05:12,05:16,Jean Claude,apt commentary on fucking the whole thing.,session04-part00.m4a.csv
165,05:17,05:22,Jean Claude,As long as everyone agrees that this thing is worth fucking a damn much.,session04-part00.m4a.csv
166,05:24,05:24,Perrin,"Alright,",session04-part00.m4a.csv
167,05:25,05:25,Perrin,"yeah,",session04-part00.m4a.csv
168,05:25,05:25,Perrin,found it.,session04-part00.m4a.csv
169,05:25,05:26,Perrin,"And it's backed by,",session04-part00.m4a.csv
170,05:26,05:26,Perrin,"like,",session04-part00.m4a.csv
171,05:26,05:29,Perrin,the water or something in the Fallout universe?,session04-part00.m4a.csv
172,05:29,05:32,Perrin,The NCR's water brahmins or something?,session04-part00.m4a.csv
173,05:32,05:32,Perrin,"Oh,",session04-part00.m4a.csv
174,05:32,05:32,Perrin,"yeah,",session04-part00.m4a.csv
175,05:32,05:33,Perrin,yeah.,session04-part00.m4a.csv
176,05:33,05:33,Perrin,I can't remember.,session04-part00.m4a.csv
177,05:33,05:34,Perrin,"So,",session04-part00.m4a.csv
178,05:34,05:34,DM,"yeah,",session04-part00.m4a.csv
179,05:34,05:36,DM,"you head back to Casa Lupo,",session04-part00.m4a.csv
180,05:36,05:38,DM,the old man still behind the camera.,session04-part00.m4a.csv
181,05:38,05:38,DM,"Oh,",session04-part00.m4a.csv
182,05:38,05:39,DM,my a blue friend.,session04-part00.m4a.csv
183,05:39,05:40,DM,Welcome back.,session04-part00.m4a.csv
184,05:41,05:42,Speaker 1,"You want to grab that bow,",session04-part00.m4a.csv
185,05:42,05:43,Speaker 1,I remember.,session04-part00.m4a.csv
186,05:43,05:45,Jean Claude,I would like to look at it.,session04-part00.m4a.csv
187,05:45,05:46,Jean Claude,I am interested.,session04-part00.m4a.csv
188,05:47,05:47,Jean Claude,"Yeah,",session04-part00.m4a.csv
189,05:47,05:49,DM,"so he pulls out a very sleek,",session04-part00.m4a.csv
190,05:49,05:50,DM,"small,",session04-part00.m4a.csv
191,05:50,05:50,DM,short bow.,session04-part00.m4a.csv
192,05:51,05:58,DM,It looks kind of like a Renaissance kind of era design with a bit of a folding mechanism keeping it compact.,session04-part00.m4a.csv
193,05:58,05:58,DM,"Yeah,",session04-part00.m4a.csv
194,05:58,05:59,DM,like a recurve.,session04-part00.m4a.csv
195,06:00,06:01,DM,It looks like an early recurve.,session04-part00.m4a.csv
196,06:03,06:06,DM,And he pulls it out kind of demonstrates it for you.,session04-part00.m4a.csv
197,06:07,06:07,DM,Pulls the string.,session04-part00.m4a.csv
198,06:08,06:09,DM,"You notice when he pulls it back and releases it,",session04-part00.m4a.csv
199,06:10,06:10,DM,silent.,session04-part00.m4a.csv
200,06:11,06:12,Speaker 1,He dry fires it?,session04-part00.m4a.csv
201,06:13,06:13,Speaker 1,"He dry fires it,",session04-part00.m4a.csv
202,06:13,06:13,Speaker 1,yeah.,session04-part00.m4a.csv
203,06:14,06:16,Jean Claude,"When he does that,",session04-part00.m4a.csv
204,06:16,06:16,Jean Claude,"I go,",session04-part00.m4a.csv
205,06:16,06:16,Jean Claude,"like,",session04-part00.m4a.csv
206,06:17,06:19,Jean Claude,have you ever shot a bull before?,session04-part00.m4a.csv
207,06:19,06:20,Jean Claude,You should never dry fire a bull.,session04-part00.m4a.csv
208,06:21,06:22,Speaker 1,"Oh,",session04-part00.m4a.csv
209,06:22,06:24,Jean Claude,I knocked 10 gold off for you.,session04-part00.m4a.csv
210,06:26,06:26,Jean Claude,Sweet.,session04-part00.m4a.csv
211,06:27,06:27,Jean Claude,Okay.,session04-part00.m4a.csv
212,06:29,06:31,Jean Claude,I reach out for it.,session04-part00.m4a.csv
213,06:32,06:33,Jean Claude,There you go.,session04-part00.m4a.csv
214,06:34,06:37,Jean Claude,I just want to hold it and see how I draw it.,session04-part00.m4a.csv
215,06:37,06:38,Jean Claude,I don't dry fire it.,session04-part00.m4a.csv
216,06:38,06:40,Jean Claude,And I just kind of get the feel for it.,session04-part00.m4a.csv
217,06:41,06:43,Jean Claude,"And I ask him,",session04-part00.m4a.csv
218,06:43,06:44,Jean Claude,"it's like,",session04-part00.m4a.csv
219,06:44,06:47,Jean Claude,"how do words,",session04-part00.m4a.csv
220,06:47,06:48,Jean Claude,"like,",session04-part00.m4a.csv
221,06:48,06:49,Jean Claude,what are its magical properties?,session04-part00.m4a.csv
222,06:50,06:52,DM,I don't know too much about this.,session04-part00.m4a.csv
223,06:52,06:52,DM,"Actually,",session04-part00.m4a.csv
224,06:52,06:55,DM,"I picked it up from someone who's trying to make a little extra coin,",session04-part00.m4a.csv
225,06:55,06:58,DM,and they're getting in and out here real quick.,session04-part00.m4a.csv
226,06:59,07:00,DM,They said it's made with yew.,session04-part00.m4a.csv
227,07:01,07:03,DM,I did not make this.,session04-part00.m4a.csv
228,07:03,07:04,DM,Sorry.,session04-part00.m4a.csv
229,07:05,07:05,DM,A yew tree.,session04-part00.m4a.csv
230,07:08,07:13,DM,And it's made for kind of stealthy application.,session04-part00.m4a.csv
231,07:14,07:16,DM,"It penetrates well,",session04-part00.m4a.csv
232,07:16,07:16,DM,"it hits hard,",session04-part00.m4a.csv
233,07:16,07:19,DM,and it's silent firing.,session04-part00.m4a.csv
234,07:19,07:20,DM,It's very quiet.,session04-part00.m4a.csv
235,07:25,07:27,Jean Claude,What is your return policy?,session04-part00.m4a.csv
236,07:28,07:28,Jean Claude,"Oh,",session04-part00.m4a.csv
237,07:28,07:29,Jean Claude,"sorry,",session04-part00.m4a.csv
238,07:29,07:29,Jean Claude,just a second.,session04-part00.m4a.csv
239,07:29,07:30,Jean Claude,You know what?,session04-part00.m4a.csv
240,07:30,07:31,Jean Claude,The cost...,session04-part00.m4a.csv
241,07:31,07:31,Jean Claude,"No,",session04-part00.m4a.csv
242,07:31,07:32,Jean Claude,I recant that.,session04-part00.m4a.csv
243,07:32,07:35,Jean Claude,Jean-Claude wouldn't understand anything about receipts or return policies.,session04-part00.m4a.csv
244,07:37,07:38,Jean Claude,That was out of character.,session04-part00.m4a.csv
245,07:39,07:39,Jean Claude,That's metagaming.,session04-part00.m4a.csv
246,07:40,07:40,Speaker 1,"Sorry,",session04-part00.m4a.csv
247,07:40,07:40,Speaker 1,it's...,session04-part00.m4a.csv
248,07:43,07:44,DM,I gave you the wrong cost.,session04-part00.m4a.csv
249,07:46,07:46,Speaker 1,50 gold.,session04-part00.m4a.csv
250,07:47,07:48,Speaker 1,It's only 50 gold?,session04-part00.m4a.csv
251,07:49,07:50,Speaker 1,That's what he's charging you.,session04-part00.m4a.csv
252,07:52,07:53,Jean Claude,Okay.,session04-part00.m4a.csv
253,07:53,07:56,Jean Claude,"And it seems much nicer than my bow,",session04-part00.m4a.csv
254,07:56,07:57,Jean Claude,right?,session04-part00.m4a.csv
255,07:57,07:57,Jean Claude,"It does,",session04-part00.m4a.csv
256,07:57,07:57,Jean Claude,yeah.,session04-part00.m4a.csv
257,07:58,07:59,Jean Claude,Fuck.,session04-part00.m4a.csv
258,08:00,08:00,Jean Claude,Alright.,session04-part00.m4a.csv
259,08:01,08:02,Jean Claude,We have a deal.,session04-part00.m4a.csv
260,08:03,08:05,Jean Claude,"Just some junk I picked up in an estate sale,",session04-part00.m4a.csv
261,08:05,08:07,Jean Claude,so glad to get it out of here.,session04-part00.m4a.csv
262,08:07,08:08,Jean Claude,"So I'm just going to write down bow,",session04-part00.m4a.csv
263,08:08,08:12,Jean Claude,and I imagine I'll just have to take the hour to attune to it to figure out what it does.,session04-part00.m4a.csv
264,08:12,08:13,DM,It does not require attunement.,session04-part00.m4a.csv
265,08:13,08:14,DM,I'll tell you right now.,session04-part00.m4a.csv
266,08:14,08:16,DM,It gives you a plus one to attack and damage rolls.,session04-part00.m4a.csv
267,08:18,08:21,DM,It has no visual enchantment whatsoever.,session04-part00.m4a.csv
268,08:23,08:23,DM,"It's basically,",session04-part00.m4a.csv
269,08:24,08:27,DM,it is a completely silent firing bow.,session04-part00.m4a.csv
270,08:27,08:30,DM,"It produces no sound when drawn,",session04-part00.m4a.csv
271,08:31,08:31,DM,"shot,",session04-part00.m4a.csv
272,08:31,08:32,DM,or anything.,session04-part00.m4a.csv
273,08:32,08:33,DM,Just shot.,session04-part00.m4a.csv
274,08:33,08:33,DM,Right.,session04-part00.m4a.csv
275,08:35,08:36,DM,"That's basically its magical thing,",session04-part00.m4a.csv
276,08:36,08:39,DM,plus it's a plus one to hit and damage.,session04-part00.m4a.csv
277,08:39,08:42,DM,So it's extremely stealthy.,session04-part00.m4a.csv
278,08:43,08:44,Jean Claude,"So mechanically,",session04-part00.m4a.csv
279,08:44,08:44,Jean Claude,how does that work?,session04-part00.m4a.csv
280,08:44,08:47,Jean Claude,"Like if I shoot from hidden,",session04-part00.m4a.csv
281,08:47,08:48,Jean Claude,it doesn't reveal my location?,session04-part00.m4a.csv
282,08:49,08:49,Jean Claude,Yeah.,session04-part00.m4a.csv
283,08:49,08:49,Jean Claude,Okay.,session04-part00.m4a.csv
284,08:50,08:50,DM,"Basically,",session04-part00.m4a.csv
285,08:51,08:54,DM,"unless they can see it coming at them,",session04-part00.m4a.csv
286,08:54,08:55,DM,"there's no draw,",session04-part00.m4a.csv
287,08:55,08:56,DM,"snap,",session04-part00.m4a.csv
288,08:56,08:56,DM,"there's no pew,",session04-part00.m4a.csv
289,08:57,08:57,DM,right?,session04-part00.m4a.csv
290,08:57,08:58,DM,It's silent.,session04-part00.m4a.csv
291,09:01,09:02,Jean Claude,Okay.,session04-part00.m4a.csv
292,09:03,09:03,Jean Claude,"Well,",session04-part00.m4a.csv
293,09:03,09:04,Jean Claude,"fuck,",session04-part00.m4a.csv
294,09:04,09:07,Jean Claude,I still have fucking 250 gold.,session04-part00.m4a.csv
295,09:07,09:09,DM,"And I'll let you know,",session04-part00.m4a.csv
296,09:09,09:11,DM,I told you what the price is actually worth.,session04-part00.m4a.csv
297,09:12,09:14,DM,The price he charged you is what he thinks it's worth.,session04-part00.m4a.csv
298,09:15,09:15,DM,"Okay,",session04-part00.m4a.csv
299,09:15,09:15,Speaker 1,yeah.,session04-part00.m4a.csv
300,09:16,09:18,Jean Claude,Does he have anything else that catches my eye?,session04-part00.m4a.csv
301,09:19,09:19,Jean Claude,"I mean,",session04-part00.m4a.csv
302,09:19,09:20,Jean Claude,it's a pawn shop.,session04-part00.m4a.csv
303,09:20,09:20,Jean Claude,He's got a lot.,session04-part00.m4a.csv
304,09:21,09:21,Jean Claude,"Yeah,",session04-part00.m4a.csv
305,09:21,09:22,Jean Claude,like specialty ammo?,session04-part00.m4a.csv
306,09:23,09:23,Jean Claude,Specialty arrows?,session04-part00.m4a.csv
307,09:24,09:26,DM,"Not any specialty arrows,",session04-part00.m4a.csv
308,09:26,09:27,DM,but he does have arrows.,session04-part00.m4a.csv
309,09:27,09:28,DM,"Okay,",session04-part00.m4a.csv
310,09:28,09:28,Jean Claude,yeah.,session04-part00.m4a.csv
311,09:28,09:28,Jean Claude,"But no,",session04-part00.m4a.csv
312,09:28,09:29,Jean Claude,"like,",session04-part00.m4a.csv
313,09:29,09:31,Jean Claude,"fire or elemental arrows or anything like that,",session04-part00.m4a.csv
314,09:31,09:31,Jean Claude,eh?,session04-part00.m4a.csv
315,09:32,09:32,Jean Claude,"No,",session04-part00.m4a.csv
316,09:32,09:34,Jean Claude,it's a bit kind of like a general purpose kind of shop.,session04-part00.m4a.csv
317,09:35,09:35,Jean Claude,"Oh,",session04-part00.m4a.csv
318,09:35,09:35,Jean Claude,"okay,",session04-part00.m4a.csv
319,09:35,09:35,Jean Claude,okay.,session04-part00.m4a.csv
320,09:35,09:36,Jean Claude,"Like any other magical goods,",session04-part00.m4a.csv
321,09:37,09:37,Jean Claude,"pretty much,",session04-part00.m4a.csv
322,09:37,09:38,Jean Claude,is what I'm asking.,session04-part00.m4a.csv
323,09:38,09:39,DM,Any other magical goods?,session04-part00.m4a.csv
324,09:39,09:39,DM,"Oh,",session04-part00.m4a.csv
325,09:39,09:40,Speaker 1,excuse me.,session04-part00.m4a.csv
326,09:40,09:41,DM,"Um,",session04-part00.m4a.csv
327,09:41,09:42,DM,what's that here?,session04-part00.m4a.csv
328,09:42,09:43,DM,In Casa Lupo?,session04-part00.m4a.csv
329,09:44,09:46,Crissdalyn,I wonder if the dictation picks up your burp.,session04-part00.m4a.csv
330,09:47,09:48,Speaker 1,Probably does.,session04-part00.m4a.csv
331,09:49,09:52,Jean Claude,And they'll probably understand the burp more than my accent.,session04-part00.m4a.csv
332,09:53,09:55,Jean Claude,You're acting fucking weird.,session04-part00.m4a.csv
333,09:57,09:58,Jean Claude,This brings me great joy.,session04-part00.m4a.csv
334,09:59,10:01,DM,It does not have any other magic.,session04-part00.m4a.csv
335,10:01,10:02,DM,"He has a couple potions,",session04-part00.m4a.csv
336,10:02,10:04,DM,"but no other,",session04-part00.m4a.csv
337,10:04,10:04,DM,"like,",session04-part00.m4a.csv
338,10:04,10:06,DM,magical weapons or armor.,session04-part00.m4a.csv
339,10:06,10:06,DM,Okay.,session04-part00.m4a.csv
340,10:06,10:07,DM,"He does have a,",session04-part00.m4a.csv
341,10:07,10:08,DM,"I got this potion,",session04-part00.m4a.csv
342,10:08,10:10,DM,"picked it up from one of,",session04-part00.m4a.csv
343,10:10,10:11,DM,"I think,",session04-part00.m4a.csv
344,10:12,10:13,DM,was it one of Orsini's customers?,session04-part00.m4a.csv
345,10:13,10:14,DM,They don't do root ones.,session04-part00.m4a.csv
346,10:14,10:15,DM,I bought it off him.,session04-part00.m4a.csv
347,10:16,10:19,DM,They told me it's a potion of gaseous form.,session04-part00.m4a.csv
348,10:19,10:20,DM,I don't know.,session04-part00.m4a.csv
349,10:20,10:22,DM,I think it just turns you into a fart or something.,session04-part00.m4a.csv
350,10:22,10:24,DM,But it might be useful.,session04-part00.m4a.csv
351,10:25,10:26,DM,How much does he want for that?,session04-part00.m4a.csv
352,10:26,10:27,Delmar,"That one,",session04-part00.m4a.csv
353,10:27,10:27,Delmar,"since it's rare,",session04-part00.m4a.csv
354,10:28,10:29,Delmar,I'd give that one for about 50 gold.,session04-part00.m4a.csv
355,10:30,10:31,Delmar,"Since he's naturally poisonous,",session04-part00.m4a.csv
356,10:32,10:33,Delmar,"if he took on a gaseous form,",session04-part00.m4a.csv
357,10:33,10:35,Delmar,would he become a poisonous gas?,session04-part00.m4a.csv
358,10:38,10:39,Delmar,That's a great question.,session04-part00.m4a.csv
359,10:40,10:41,Delmar,"Good looking up,",session04-part00.m4a.csv
360,10:41,10:41,Delmar,man.,session04-part00.m4a.csv
361,10:42,10:43,Delmar,"I was just like,",session04-part00.m4a.csv
362,10:43,10:43,Delmar,"I was like,",session04-part00.m4a.csv
363,10:43,10:44,Delmar,"yeah,",session04-part00.m4a.csv
364,10:44,10:45,Delmar,but his farts would be poisonous.,session04-part00.m4a.csv
365,10:45,10:46,Delmar,Wait.,session04-part00.m4a.csv
366,10:48,10:49,Delmar,Silent but deadly.,session04-part00.m4a.csv
367,10:49,10:50,Jean Claude,"Oh,",session04-part00.m4a.csv
368,10:50,10:50,Jean Claude,"God,",session04-part00.m4a.csv
369,10:50,10:51,Jean Claude,"literally,",session04-part00.m4a.csv
